sales_id,shop_id,week_no,start_date,end_date,sales_amount,sales_target,item_sold,transactions,staff_hours,staff_hours_target,labour_cost,labour_cost_target,total_tax,sales_status
1,10,27,2013-06-24,2013-06-30,1629.20,10000.00,204.00,3,00:00:00,20:50:00,0,300.00,0.00,1
2,10,28,2013-07-01,2013-07-07,0.00,0.00,0.00,0,00:00:00,00:00:00,0,0.00,0.00,1
3,10,29,2013-07-08,2013-07-14,1159.29,60000.00,177.00,33,08:02:40,125:00:00,81,1800.00,816.06,1
4,10,30,2013-07-15,2013-07-21,756.71,70000.00,150.00,33,00:00:00,145:50:00,0,2100.00,625.93,1
5,10,31,2013-07-22,2013-07-28,0.00,70000.00,0.00,0,00:00:00,145:50:00,0,2100.00,0.00,1
6,10,32,2013-07-29,2013-08-04,0.00,60000.00,0.00,0,00:00:00,125:00:00,0,1800.00,0.00,1
7,10,33,2013-08-05,2013-08-11,0.00,70000.00,0.00,0,00:00:00,145:50:00,0,2100.00,0.00,1
8,10,34,2013-08-12,2013-08-18,0.00,70000.00,0.00,0,00:00:00,145:50:00,0,2100.00,0.00,1
9,10,35,2013-08-19,2013-08-25,0.00,70000.00,0.00,0,00:00:00,145:50:00,0,2100.00,0.00,1
10,10,36,2013-08-26,2013-09-01,0.00,70000.00,0.00,0,00:00:00,145:50:00,0,2100.00,0.00,1
11,10,37,2013-09-02,2013-09-08,0.00,70000.00,0.00,0,00:00:00,145:50:00,0,2100.00,0.00,1
12,10,38,2013-09-09,2013-09-15,0.00,70000.00,0.00,0,00:00:00,145:50:00,0,2100.00,0.00,1
13,10,39,2013-09-16,2013-09-22,0.00,70000.00,0.00,0,00:00:00,145:50:00,0,2100.00,0.00,1
14,10,40,2013-09-23,2013-09-29,0.00,70000.00,0.00,0,00:00:00,145:50:00,0,2100.00,0.00,1
15,10,41,2013-09-30,2013-10-06,0.00,70000.00,0.00,0,00:00:00,145:50:00,0,2100.00,0.00,1
16,10,42,2013-10-07,2013-10-13,0.00,70000.00,0.00,0,00:00:00,145:50:00,0,2100.00,0.00,1
